,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species/taxa,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link,Fasciculates with,CellSomaShape,CellSomaSize,Located in,SpineDensityOnDendrites,DendriteLocation,BranchingMetrics,AxonMyelination,AxonProjectionLaterality,LocationOfAxonArborization,LocationOfLocalAxonArborization,OriginOfAxon,Neurotransmitter/NeurotransmitterReceptors,MolecularConstituents,Curator_Notes,Phenotypes: ilx:has_location_phenotype,Notes
:Category:Dorsal spinocerebellar tract cell,Dorsal spinocerebellar tract cell,,"nlx_143534,nifext_102",,,,:Category:Vertebrata,,,,,dsc,,,,,,,,,,,,,,,,,ilx:has_location_phenotype UBERON:0002753,
:Category:Dorsal tegmental nucleus medium cell,Dorsal tegmental nucleus medium cell,Dorsal tegmental nucleus medium neuron,nlx_cell_20090403,13772534,"Hayakawa, T and Zyo, K. Fine structural survey of Gudden's tegmental nuclei in the rat:  cytology and axosomatic synapses.  Anatomy and Embryology 177: 485-493, 1988.",Neuron,:Category:Mammal,"Medium sized neuron located in the dorsal tegmental nucleus pars ventralis characterized by an oval, oblong or round shaped cell soma, an irregularly shaped oblong nucleus with one or rarely two nucleoli and an indented nuclear envelope.  The somatic surface is smooth  with no smatic spines.  any organelles are present in the cytoplasm, including well developed rough endoplasmic reticulum forming Nissl bodies.",,,,,,,"Category:Round, oval, fusiform ",10 X 18 um,:Category:Dorsal tegmental nucleus pars ventralis,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0014569 , ilx:has_morphological_phenotype medium",
:Category:Dorsal tegmental nucleus small cell,Dorsal tegmental nucleus small cell,Dorsal tegmental nucleus small neuron,nlx_cell_20090402,13772534,"Hayakawa, T and Zyo, K. Fine structural survey of Gudden's tegmental nuclei in the rat:  cytology and axosomatic synapses.  Anatomy and Embryology 177: 485-493, 1988.,",Neuron,:Category:Mammal,"Small neuron located in the pars dorsalis of the dorsal tegmental nucleus characterized by a spindle or oval shaped neuronal somata, an irregularly-shaped deeply indented nucleus with a prominent nucleolus surrounded by a small rim of cytoplasm containing mitochondria, lysosomes, Golgi apparatus (not well developed) and rough endoplasmic reticulum.  These cells stain lightly in Nissl preparations.  No somatic spines are observed on the cell soma.",,,,,,,Category:Fusiform Soma Quality ,7 X 16 um,:Category:Dorsal tegmental nucleus pars dorsalis,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0014568 , ilx:has_morphological_phenotype small",
:Category:Dorsal tp motor neuron,Dorsal tp motor neuron,,nlx_147781,,,Direct flight muscle motor neuron,:Category:Drosophila,,,,:Category:Dorsal tp motor neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004071,,,,,,,,,,,,,,,,,
:Category:Dorso-lateral dopaminergic neuron,Dorso-lateral dopaminergic neuron,dorso-lateral dopamine neuron,nlx_147836,,,Dopaminergic neuron (FBbt Term),:Category:Drosophila,,,,:Category:Dorso-lateral dopaminergic neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00005132,,,,,,,,,,,,,,,,,
:Category:Dorsomedial neurosecretory cell,Dorsomedial neurosecretory cell,,nlx_147721,,,Neurosecretory cell,:Category:Drosophila,,,,:Category:Dorsomedial neurosecretory cell,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004011,,,,,,,,,,,,,,,,,
:Category:E-1 neuron,E-1 neuron,,nlx_148483,,,Neuron,:Category:Drosophila,"Neuron associated with the anterior crossvein campaniform sensillum neuron, but does not possess a typical dendrite whose conspicuous distal tip can be seen near the surface of the epithelium (Murray et al., 1984).",,,:Category:E-1 neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100121,L3 nerve,,,,,,,,,,,,,,,,
:Category:EH neurosecretory neuron,EH neurosecretory neuron,EH neuron,nlx_147924,,,Endocrine neuron,:Category:Drosophila,A neuron of the larval brain that expresses eclosion hormone. A single pair of these neurons is present per larva. Their processes extend the entire length of the central nervous system and also to the corpora cardiaca portion of the ring gland via the nervus corporis cardiaci.,,,:Category:EH neurosecretory neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00006028,Nervus corporis cardiaci,,,,,,,,,,,,,,,,
:Category:Eb-no neuron,Eb-no neuron,CCI (no-eb1),nlx_147372,,,Small field neuron of the central complex,:Category:Drosophila,Small field neuron of the central complex that innervates only the ellipsoid body and the nodulus.,,,:Category:Eb-no neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003638,,,,,,,,,,,,,,,,,
:Category:Eb-pb-vbo neuron,Eb-pb-vbo neuron,,nlx_147371,,,Small field neuron of the central complex,:Category:Drosophila,Small field neuron of the central complex that connects a large dorso-lateral area of the ellipsoid body to a lateral glomerulus of the ipsilateral protocerebral bridge and to either the ipsilateral or contralateral lateral accessory lobe (ventral body). Forms club-like terminals in the protocerebral bridge and spiny arborizations in the ellipsoid body.,,,:Category:Eb-pb-vbo neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003637,,,,,,,,,,,,,,,,,
:Category:Embryonic / larval olfactory receptor neuron,Embryonic / larval olfactory receptor neuron,larval ORN,nlx_148093,,,Olfactory receptor neuron (FBbt Term),:Category:Drosophila,Any olfactory receptor neuron (FBbt_00005926) that is part of some larva (FBbt_00001727).,,,:Category:Embryonic / larval olfactory receptor neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007388,,,,,,,,,,,,,,,,,
:Category:Endocrine neuron,Endocrine neuron,,nlx_148126,,,Neurosecretory neuron,:Category:Drosophila,Any neuron (FBbt_00005106) that functions in (some) endocrine hormone secretion (GO:0060986).,,,:Category:Endocrine neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007436,,,,,,,,,,,,,,,,,
:Category:Entorhinal Cortex layer 2 stellate neuron,Entorhinal cortex layer 2 stellate neuron,,nlx_36209,,,Neuron,:Category:Vertebrata,,,,,,,,,,:Category:Entorhinal cortex,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0002728 , ilx:has_layer_location_phenotype UBERON:0022337 , ilx:has_morphological_phenotype stellate",
:Category:Eo neuron,Eo neuron,,nlx_147848,,,Sensory neuron (FBbt Term),:Category:Drosophila,Sensory neuron that is part of an eo-sensillum and whose dendrite innervates the cuticular external sensory structure of that sensillum.,,,:Category:Eo neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00005174,,,,,,,,,,,,,,,,,
:Category:Extra LNd neuron,Extra LNd neuron,,nlx_148520,,,LNd neuron,:Category:Drosophila,LNd neuron characterized by having a slightly larger nucleus and cytoplasmic area compared to the other LNd neurons.,,,:Category:Extra LNd neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100170,,,,,,,,,,,,,,,,,
:Category:Extrinsic neuron,Extrinsic neuron,,nlx_147394,,,Interneuron (FBbt Term),:Category:Drosophila,An interneuron that extends projections between different neuropil domains.,,,:Category:Extrinsic neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003660,,,,,,,,,,,,,,,,,
:Category:Extrinsic no neuron,Extrinsic no neuron,,nlx_147396,,,Extrinsic neuron,:Category:Drosophila,Any extrinsic neuron (FBbt_00003660) that has synaptic terminals in some nodulus (FBbt_00003680).,,,:Category:Extrinsic no neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003662,,,,,,,,,,,,,,,,,
:Category:Extrinsic pb neuron,Extrinsic pb neuron,,nlx_147395,,,Extrinsic neuron,:Category:Drosophila,Any extrinsic neuron (FBbt_00003660) that has synaptic terminals in some protocerebral bridge (FBbt_00003668).,,,:Category:Extrinsic pb neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003661,,,,,,,,,,,,,,,,,
:Category:Facial nucleus motor neuron,Facial nucleus motor neuron,"facial nucleus motor cell,7th nerve motor neuron,VIIth nerve motor neuron",nlx_50129,,,Neuron,:Category:Vertebrata,Motor neuron whose cell soma lies within the facial nucleus.,,":Category:Principal neuron role,:Category:Motor role of nerve cell",,,,,,,:Category:Facial nucleus,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0000227 , ilx:has_circuit_role_phenotype motor , ilx:has_circuit_role_phenotype principal",
:Category:Fan-shaped neuron,Fan-shaped neuron,F neuron,nlx_147391,,,Large field neuron of the central complex,:Category:Drosophila,"Neuron with a large arborization field that forms a quasi-horizontal strata within the fan-shaped body that fills it in both the transverse and longitudinal directions. They mostly extend caudally from the anterior margin of the fan-shaped body. This pattern makes some of them look like a fan, although the strata in most cases do not show a separation into 8 (or 16) segments. Some subtypes are specific to a single fan-shaped body layer.",,,:Category:Fan-shaped neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003657,,,,,,,,,,,,,,,,,
:Category:Fan-shaped neuron F1,Fan-shaped neuron F1,fan shaped neuron F1,nlx_148215,,,Fan-shaped neuron,:Category:Drosophila,Any fan-shaped neuron (FBbt_00003657) that has synaptic terminals in some fan-shaped body layer 1 (FBbt_00007487).,,,:Category:Fan-shaped neuron F1,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007540,,,,,,,,,,,,,,,,,
:Category:Fan-shaped neuron F2,Fan-shaped neuron F2,fan shaped neuron F2,nlx_148216,,,Fan-shaped neuron,:Category:Drosophila,Any fan-shaped neuron (FBbt_00003657) that has synaptic terminals in some fan-shaped body layer 2 (FBbt_00007488).,,,:Category:Fan-shaped neuron F2,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007541,,,,,,,,,,,,,,,,,
:Category:Fan-shaped neuron F3,Fan-shaped neuron F3,fan shaped neuron F3,nlx_148217,,,Fan-shaped neuron,:Category:Drosophila,Any fan-shaped neuron (FBbt_00003657) that has synaptic terminals in some fan-shaped body layer 3 (FBbt_00007490).,,,:Category:Fan-shaped neuron F3,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007542,,,,,,,,,,,,,,,,,
:Category:Fan-shaped neuron F4,Fan-shaped neuron F4,fan shaped neuron F4,nlx_148218,,,Fan-shaped neuron,:Category:Drosophila,Any fan-shaped neuron (FBbt_00003657) that has synaptic terminals in some fan-shaped body layer 4 (FBbt_00007491).,,,:Category:Fan-shaped neuron F4,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007543,,,,,,,,,,,,,,,,,
:Category:Fan-shaped neuron F5,Fan-shaped neuron F5,fan shaped neuron F5,nlx_148219,,,Fan-shaped neuron,:Category:Drosophila,Any fan-shaped neuron (FBbt_00003657) that has synaptic terminals in some fan-shaped body layer 5 (FBbt_00007492).,,,:Category:Fan-shaped neuron F5,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007544,,,,,,,,,,,,,,,,,
:Category:Fan-shaped neuron F6,Fan-shaped neuron F6,fan shaped neuron F6,nlx_148211,,,Fan-shaped neuron,:Category:Drosophila,Any fan-shaped neuron (FBbt_00003657) that has synaptic terminals in some fan-shaped body layer 6 (FBbt_00007493).,,,:Category:Fan-shaped neuron F6,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007536,,,,,,,,,,,,,,,,,
:Category:Fb-eb neuron,Fb-eb neuron,,nlx_147374,,,Small field neuron of the central complex,:Category:Drosophila,A small field neuron intrinsic to the central complex that arborizes in only the fan-shaped body and the ellipsoid body.,,,:Category:Fb-eb neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003640,,,,,,,,,,,,,,,,,
:Category:Fb-eb-no neuron,Fb-eb-no neuron,,nlx_147375,,,Small field neuron of the central complex,:Category:Drosophila,"A small field neuron intrinsic to the central complex that arborizes in only the fan-shaped body, the ellipsoid body and the nodulus.",,,:Category:Fb-eb-no neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003641,,,,,,,,,,,,,,,,,
:Category:Fb-ltr neuron,Fb-ltr neuron,,nlx_147376,,,Small field neuron of the central complex,:Category:Drosophila,A small field neuron of the adult central complex that innervates only the fan-shaped body and the bulbs (lateral triangles).,,,:Category:Fb-ltr neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003642,,,,,,,,,,,,,,,,,
:Category:Fb-no neuron,Fb-no neuron,CCI (fb-no),nlx_147373,,,Small field neuron of the central complex,:Category:Drosophila,Small field neuron of the central complex that has small arborizations with club-like fiber endings in the fan-shaped body and terminates with spines and blebs in the contralateral nodulus.,,,:Category:Fb-no neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00003639,,,,,,,,,,,,,,,,,
:Category:GABAergic neuron (FBbt Term),GABAergic neuron (FBbt Term),GABA-ergic neuron,nlx_148043,,,Aminergic neuron,:Category:Drosophila,"Any neuron (FBbt_00005106) that releases as a neurotransmitter, some gamma-aminobutyric acid (CHEBI:16865).",,,:Category:GABAergic neuron (FBbt Term),,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007228,,,,,,,,,,,,,,,,,
:Category:Ganglion cell,Ganglion cell,,nlx_147840,,,Neuron,:Category:Drosophila,The neuron of a ganglion.,,,:Category:Ganglion cell,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00005138,,,,,,,,,,,,,,,,,
:Category:Giant fiber neuron,Giant fiber neuron,GF,nlx_147730,,,Interneuron (FBbt Term),:Category:Drosophila,"A large, descending neuron that controls jump escape behavior (GO:0007630). Each adult has a bilaterally symmetric pair of these neurons, each with a large cell body at the posterior of the protocerebrum and a long primary neurite (GO:0070852) that branches to forms an extensive dendritic tree in the brain and an axon that projects, via the cervical connective, to the mesothorax. Targets of dendritic arborization include zone A of the antennal mechanosensory and motor center (AMMC) (Kamikouchi et al, 2009) and the inferior ventro-lateral protocerebrum. In the mesothorax, the axon forms electrical synapses with tergotrochanteral muscle motor neuron (TTMn) and peripherally synapsing interneurons (PSI)) of the mesothorax that in turn synapse to the motor neurons of the dorso-longitudinal flight muscles.",,,:Category:Giant fiber neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00004020,,,,,,,,,,,,,,,,,
:Category:Giant sensillum of the dorsal radius neuron,Giant sensillum of the dorsal radius neuron,,nlx_148478,,,Sensory neuron (FBbt Term),:Category:Drosophila,"Large sensory neuron (approximately 20 by 10 micrometres) innervating the single large campaniform sensillum of the dorsal radius (Palka et al., 1979).",,,:Category:Giant sensillum of the dorsal radius neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100116,Marginal nerve,,,,,,,,,,,,,,,,
:Category:Gigantocellular nucleus giant neuron,Gigantocellular nucleus giant neuron,,nlx_48604,,,Neuron,:Category:Vertebrata,,,,,,,,,,:Category:Nucleus gigantocellularis,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0002155 , ilx:has_morphological phenotype giant",
:Category:Globus pallidus intrinsic cell,Globus pallidus intrinsic cell,,nifext_150,,,Neuron,:Category:Vertebrata,,,,,,,,,,:Category:Globus pallidus,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0001875 , ilx:has_circuit_role_phenotype intrinsic",
:Category:Globus pallidus principal cell,Globus pallidus principal cell,,nifext_149,,,Neuron,:Category:Vertebrata,"Large neuron of he globus pallidus, both internal and external segment, characterized by a large and fusiform or trangular cell soma with long, thick aspiny dendrites that may extend for over 1 mm.",,:Category:Principal neuron role,,,,,,,:Category:Globus pallidus,:Category:Smooth,,,,ipsilateral,,,,,,,"ilx:has_location_phenotype UBERON:0001875 , ilx:has_circuit_role_phenotype principal",
:Category:Glutamatergic neuron (FBbt Term),Glutamatergic neuron (FBbt Term),,nlx_148635,,,Neuron,:Category:Drosophila,"Any neuron (FBbt_00005106) that releases as a neurotransmitter, some glutamic acid (CHEBI:18237).",,,:Category:Glutamatergic neuron (FBbt Term),,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100291,,,,,,,,,,,,,,,,,
:Category:Gracilis nucleus intrinsic cell,Gracilis nucleus intrinsic cell,,nifext_95,,,Neuron,:Category:Vertebrata,,,,,,,,,,:Category:Gracile nucleus,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0002161 , ilx:has_circuit_role_phenotype intrinsic",
:Category:Gracilis nucleus principal cell,Gracilis nucleus principal cell,,nifext_94,,,Neuron,:Category:Vertebrata,,,,,,,,,,:Category:Gracile nucleus,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0002161 , ilx:has_circuit_role_phenotype principal",
:Category:Gravity sensitive Johnston organ neuron,Gravity sensitive Johnston organ neuron,gravity sensitive Johnston''s organ neuron,nlx_148422,,,Johnston organ neuron tonically activated by arista deflection,:Category:Drosophila,"Johnston's organ neuron (JON) that is tonically activated by aristal deflection and is necessary for normal gravitaxis behaviour. These neurons form a broad 'ring' in the medial and outer layers of the JON array (Kamikouchi et al., 2009).",,,:Category:Gravity sensitive Johnston organ neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100003,,,,,,,,,,,,,,,,,
:Category:Great commissural interneuron,Great commissural interneuron,,nlx_148108,,,Interneuron (FBbt Term),:Category:Drosophila,Any interneuron (FBbt_00005125) that fasciculates with some great commissure (FBbt_00007080).,,,:Category:Great commissural interneuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00007407,Great commissure,,,,,,,,,,,,,,,,
:Category:Grid cell,Grid cell,,nlx_144209,,,Neuron,":Category:Mouse,:Category:Adult rat",a neuron which fires when an animal is in any point of space which corresponds to a vertex of its triangular grid firing field.,,:Category:Principal neuron role,,,,,,,:Category:Entorhinal cortex,,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0002728 , ilx:has_layer_location_phenotype UBERON:0022337 , ilx:has_experimental_phenotype grid , ilx:has_circuit_role_phenotype principal",
:Category:Gustatory receptor neuron,Gustatory receptor neuron,GRN,nlx_147910,,,Chemosensory neuron,:Category:Drosophila,Any neuron (FBbt_00005106) that functions in (some) detection of chemical stimulus involved in sensory perception of taste (GO:0050912).,,,:Category:Gustatory receptor neuron,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00005927,,,,,,,,,,,,,,,,,
:Category:Gustatory receptor neuron of terminal organ,Gustatory receptor neuron of terminal organ,,nlx_148505,,,Gustatory receptor neuron,:Category:Drosophila,Gustatory receptor neuron associated with the terminal organ.,,,:Category:Gustatory receptor neuron of terminal organ,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100144,,,,,,,,,,,,,,,,,
:Category:Gustatory receptor neuron of the dorsal organ,Gustatory receptor neuron of the dorsal organ,,nlx_148506,,,Gustatory receptor neuron,:Category:Drosophila,"Gustatory receptor neuron that innervates the dorsal organ. Projections from at least some of these neurons innervate `subesophageal ganglion area 3` (FBbt_00100141) (Colomb et al., 2007).",,,:Category:Gustatory receptor neuron of the dorsal organ,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100145,,,,,,,,,,,,,,,,,
:Category:Gustatory receptor neuron of the epiphysis,Gustatory receptor neuron of the epiphysis,,nlx_148508,,,Gustatory receptor neuron,:Category:Drosophila,Gustatory receptor that innervates the epiphysis.,,,:Category:Gustatory receptor neuron of the epiphysis,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100147,,,,,,,,,,,,,,,,,
:Category:Gustatory receptor neuron of the hypopharyngeal sense organ,Gustatory receptor neuron of the hypopharyngeal sense organ,,nlx_148510,,,Gustatory receptor neuron,:Category:Drosophila,Gustatory receptor organ that innervates hypopharyngeal sense organ.,,,:Category:Gustatory receptor neuron of the hypopharyngeal sense organ,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100149,,,,,,,,,,,,,,,,,
:Category:Gustatory receptor neuron of the hypophysis,Gustatory receptor neuron of the hypophysis,,nlx_148509,,,Gustatory receptor neuron,:Category:Drosophila,Gustatory receptor neuron that innervates the hypophysis.,,,:Category:Gustatory receptor neuron of the hypophysis,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100148,,,,,,,,,,,,,,,,,
:Category:Gustatory receptor neuron of the ventral organ,Gustatory receptor neuron of the ventral organ,,nlx_148507,,,Gustatory receptor neuron,:Category:Drosophila,Gustatory receptor neuron that innervates the ventral organ.,,,:Category:Gustatory receptor neuron of the ventral organ,,http://www.virtualflybrain.org/site/tools/anatomy_finder/index.htm?id=FBbt:00100146,,,,,,,,,,,,,,,,,
:Category:Head direction cell,Head direction cell,Head-direction cell,nlx_144208,,,Neuron,":Category:Mouse,:Category:Adult rat","Neurons which fire when an animal's head is facing in a particular direction of horizontal plane, regardless of location, behavior or position of body",,:Category:Principal neuron role,,,,,,,":Category:Postsubiculum,:Category:Anterior Thalamus,:Category:Lateral mammillary nucleus",,,,,,,,,,,,"ilx:has_location_phenotype postsubiculum , ilx:has_location_phenotype UBERON:0002788 , ilx:has_location_phenotype UBERON:0001938 , ilx:has_experimental_phenotype head-direction , ilx:has_circuit_role_phenotype principal",
:Category:Hippocampus CA1 IS-I neuron,Hippocampus CA1 IS-I neuron,CA1 IS-I cell,nlx_cell_100209,,"Somogyi P & Klausberger T, 2005",Neuron,:Category:Vertebrata,"The IS (Interneuron-Specific) subpopulation of interneurons have axons that preferentially innervate other interneurons. The CA1 Interneuron Specific (IS) Type I cells is one of the many IS cell types from the CA1 region. The soma is located in stratum radiatum and pyramidale with dendrites spanning most layers and the axon innervating mainly calbindin positive and other calretinin positive cells (Acsady et al. 1996b,Gulyas et al. 1996). The possible expression of VIP by these cells is not known.",,,,,,,,,":Category:CA1 stratum radiatum,:Category:CA1 stratum pyramidale",,,,,,":Category:CA1 alveus,:Category:CA1 stratum oriens,:Category:CA1 stratum pyramidale,:Category:CA1 stratum radiatum",,,,:Category:Calretinin,"ilx:has_location_phenotype UBERON:0003881 , ilx:has_circuit_role_phenotype interneuron-specific I",
:Category:Hippocampus CA1 IS-II neuron,Hippocampus CA1 IS-II neuron,CA1 IS-II cell,nlx_cell_1006029,,"Somogyi P & Klausberger T, 2005",Neuron,:Category:Vertebrata,"The IS (Interneuron-Specific) subpopulation of interneurons have axons that preferentially innervate other interneurons. The CA1 Interneuron Specific (IS) type II cell is VIP+. The soma was reported mainly in stratum radiatum and the border with lacunosum-moleculare, and the dendrites are mostly in stratum lacunosum-moleculare (Acsady et al. 1996b; Gulyas et al. 1996). The axon innervates mainly CCK/VIP positive basket cells (Acsady et al. 1996b; Gulyas et al. 1996). The possible expression of calretinin by these cells is not known.",,,,,,,,,:Category:CA1 stratum radiatum,,":Category:CA1 stratum radiatum,:Category:CA1 stratum lacunosum moleculare",,,,:Category:CA1 stratum radiatum,,,,:Category:Vasoactive intestinal peptide,,"ilx:has_location_phenotype UBERON:0003881 , ilx:has_layer_location_phenotype UBERON:0014554 , ilx:has_circuit_role_phenotype interneuron-specific II",
:Category:Hippocampus CA1 IS-III neuron,Hippocampus CA1 IS-III neuron,CA1 IS-III cell,nlx_36222,,"Somogyi P & Klausberger T, 2005",Neuron,:Category:Vertebrata,"The IS (Interneuron-Specific) subpopulation of interneurons have axons that preferentially innervate other interneurons. CA1 Interneuron Specific (IS) type III cells are VIP+, calretinin+ and terminals mGluR7a+. The soma is located mainly in stratum pyramidale and radiatum with radial dendrites crossing most layers (Acsady et al. 1996a,b). The axon innervates mainly O-LM cells (Acsady et al. 1996a; Ferraguti et al. 2004) and terminals express high level of mGluR7a in the presynaptic active zone (Somogyi et al. 2003).",,,,,,,,,":Category:CA1 stratum radiatum,:Category:CA1 stratum pyramidale",,":Category:CA1 alveus,:Category:CA1 stratum oriens,:Category:CA1 stratum pyramidale,:Category:CA1 stratum radiatum,:Category:CA1 stratum lacunosum moleculare",,,,":Category:CA1 alveus,:Category:CA1 stratum oriens,:Category:CA1 stratum pyramidale",,,,":Category:Vasoactive intestinal peptide,:Category:Calretinin,:Category:Terminals mGluR7a",,"ilx:has_location_phenotype UBERON:0003881 , ilx:has_layer_location_phenotype UBERON:0014554 , ilx:has_layer_location_phenotype UBERON:0014548 , ilx:has_circuit_role_phenotype interneuron-specific III",
:Category:Hippocampus CA1 LM(R) PP neuron,Hippocampus CA1 LM(R) PP neuron,"CA1 lacunosum-moleculare radiatum perforant path associated cell,CA1 LM/R PP cell,CA1 LM PP cell",nlx_81310,,Somogyi & Klausberger (2005),Neuron,:Category:Vertebrata,"CA1 lacunosum-moleculare radiatum PP neuron is a type of CA1 interneuron which is associated with perforant pathway. The cell bodies of these cells are in stratum radiatum or at the border of stratum radiatum and lacunosum-moleculare. The dendritic field reaches the alveus and covers all layers (Hajos & Mody, 1997; Vida et al. 1998).",,,,CA1 LM(R) PP neuron,,,,,:Category:CA1 stratum radiatum,,":Category:CA1 alveus,:Category:CA1 stratum oriens,:Category:CA1 stratum pyramidale,:Category:CA1 stratum radiatum,:Category:CA1 stratum lacunosum moleculare",,,,":Category:Dentate gyrus molecular layer,:Category:CA1 stratum radiatum,:Category:CA1 stratum lacunosum moleculare",,,,,,"ilx:has_location_phenotype UBERON:0003881 , ilx:has_layer_location_phenotype UBERON:0014554 , ilx:has_layer_location_phenotype UBERON:14557 , ilx:has_projection_phenotype perforant path associated",
:Category:Hippocampus CA1 basket cell,Hippocampus CA1 basket cell,Hippocampal CA1 basket cell,nlx_cell_091205,,,Neuron,:Category:Mammal,,,,,,,,,,":Category:Hippocampus,:Category:CA1 alveus,:Category:CA1 stratum oriens",,,,,,,,,,,,"ilx:has_location_phenotype UBERON:0003881 , ilx:has_layer_location_phenotype UBERON:0014570 , ilx:has_layer_location_phenotype UBERON:0014552 , ilx:has_morphological_phenotype basket",
:Category:Hippocampus CA1 ivy neuron,Hippocampus CA1 ivy neuron,"CA1 ivy cell,ivy cell",nlx_35220,,"Fuentealba P et al., 2008",Neuron,:Category:Mammal,"Ivy cells are highly abundant GABAergic interneurons when compared to basket, bistratified, or axo-axonic cells. ""Ivy"" cells are named after their dense and fine axons innervating mostly basal and oblique pyramidal cell dendrites. They express nitric oxide synthase, neuropeptide Y, and high levels of GABAa receptor aplha1 subunit and they are also identified as slow-spiking interneurons that regulate the excitability of pyramidal cell dendrites through slowly rising and decaying GABAergic inputs.",,:Category:Intrinsic neuron role,,,,,,,:Category:CA1 stratum pyramidale,,":Category:CA1 alveus,:Category:CA1 stratum oriens,:Category:CA1 stratum radiatum,:Category:CA1 stratum pyramidale",,,,":Category:CA1 alveus,:Category:CA1 stratum oriens,:Category:CA1 stratum radiatum,:Category:CA1 stratum pyramidale",,,,,,"ilx:has_location_phenotype UBERON:0003881 , ilx:has_layer_location_phenotype UBERON:0014548 , ilx:has_morphological_phenotype ivy , ilx:has_circuit_role_phenotype intrinsic",
