,Synonym,Label,Id,Definition,ExternallySourcedDefinition,Comment,Synonym,Species,PartiallyOverlapsWith,Is part of,Has role,RelatedTo,Category,SuperCategory
:Category:Central nervous system of primate,,Central nervous system of primate,nlx_20785,,,,,,,,,,:Category:Central nervous system,Central nervous system
:Category:Central nervous system of rodent,,Central nervous system of rodent,nlx_53588,The central nervous system of rodents,,,,:Category:Rodent,,,,,:Category:Central nervous system,Central nervous system
:Category:Central nucleus of inferior colliculus,,Central nucleus of inferior colliculus,birnlex_1035,,,,,,,:Category:Inferior colliculus,,,:Category:Regional part of brain,Regional part of brain
:Category:Central oculomotor nucleus,,Central oculomotor nucleus,birnlex_786,,,,,,,:Category:Oculomotor nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Central sulcus,,Central sulcus,birnlex_4035,,,,"sulcus centralis (Rolandi),central sulcus of Rolando,Sulcus centralis cerebri,Sulcus centralis,fissure of Rolando,central fissure,Rolandic fissure",,,:Category:Cerebral cortex,,,:Category:Sulcus,Sulcus
:Category:Central tegmental tract,,Central tegmental tract,nlx_32981,"A pathway containing fibers from midbrain nuclei that project to the inferior olivary complex, as well as fibers originating in the pontine reticular formation and the medullary reticular formation that project to several nuclei of the thalamus. It can be identified in the midbrain and the pons (Adapted from Brain Info).",,,,,,":Category:Midbrain tegmentum,:Category:Pontine tegmentum,:Category:White matter",,,:Category:Nerve tract,Nerve tract
:Category:Central tegmental tract of midbrain,,Central tegmental tract of midbrain,birnlex_1081,,,,,,,":Category:Central tegmental tract,:Category:Midbrain tegmentum",,,:Category:Regional part of brain,Regional part of brain
:Category:Central tegmental tract of pons,,Central tegmental tract of pons,birnlex_1683,,,,,,,":Category:Central tegmental tract,:Category:Pontine tegmentum",,,:Category:Regional part of brain,Regional part of brain
:Category:Centromedian nucleus,,Centromedian nucleus,birnlex_805,,,,"nucleus centralis thalami (Hassler),centrum medianum,central magnocellular nucleus of thalamus,nucleus centri mediani thalami,nucleus centrum medianum,centromedian thalamic nucleus,nucleus centromedianus,nucleus centromedianus thalami,centre median nucleus,central nucleus-1,nucleus centralis centralis,centrum medianum thalami,centromedian nucleus",,,:Category:Intralaminar nuclear group,,,:Category:Regional part of brain,Regional part of brain
:Category:Cerebellar Paravermis,,Cerebellar Paravermis,nlx_anat_20081236,"A region on either side of the midline of the cerebellum that lies lateral to the vermis and medial to the hemisphere. It contains the cerebellar cortical zones C1, C2 and C3 and receives climbing fibre input from the inferior olive and projects to the nucleus interpositus. Here, the term is used to denote the functionally related C1, C3 and Y (but not the C2) zones (Nature glossary: http://www.nature.com/nrn/journal/v6/n4/glossary/nrn1646.html#df1).",,,Intermediate zone,,,:Category:Cerebellar cortex,,,:Category:Regional part of brain,Regional part of brain
:Category:Cerebellar cortex,,Cerebellar cortex,birnlex_1566,"The superficial gray matter of the cerebellum. It consists of three main layers, the molecular layer, the Purkinje cell layer and the granule cell layer, and the white matter laminae lying deep to the granule cell layer.",,,,,,:Category:Cerebellum,,,:Category:Regional part of brain,Regional part of brain
:Category:Cerebellar hemisphere,,Cerebellar hemisphere,birnlex_1575,,,,Intermediate zone,,,,,,:Category:Cerebellar cortex,Cerebellar cortex
:Category:Cerebellar penducular complex,,Cerebellar penducular complex,birnlex_970,,"The term cerebellar peduncles refers to the three peduncles of the cerebellum. They are the superior cerebellar peduncle, the middle cerebellar peduncle and the inferior cerebellar peduncle (Carpenter-83). (NeuroNames)",,"cerebellar peduncles and decussations,cerebellar peduncles",,,:Category:White matter,,,:Category:Regional part of cerebellar white matter,Regional part of cerebellar white matter
:Category:Cerebellar white matter,,Cerebellar white matter,birnlex_1562,"Regional part of cerebellum consisting of the myelinated axons lying deep to the granule cell layer, excluding the deep cerebellar nuclei and the cerebellar peduncles.",,,,,,,,,:Category:Composite part spanning multiple base regional parts of brain,Composite part spanning multiple base regional parts of brain
:Category:Cerebellum,,Cerebellum,birnlex_1489,"Part of the rhombencephalon that lies in the posterior cranial fossa behind the brain stem, consisting of the cerebellar cortex, deep cerebellar nuclei and cerebellar white matter.
A portion of the brain that helps regulate posture, balance, and coordination. (NIDA Media Guide Glossary)

The dorsal topographic division of the hindbrain, connected to the ventral  division-the pons-by a white matter tract, the middle cerebellar peduncle. The cerebellum was discovered and named by Aristotle (De Partibus Animalium) based on macrodissection of a variety of animals not including humans; see translation by Thompson (1910, 494b 30). Older synonyms include parencephalon (Aristotle), hindbrain (Galen, c192).",,,"Parencephalon,Hindbrain",:Category:Vertebrata,,:Category:Cerebrospinal axis,,,:Category:Regional part of brain,Regional part of brain
:Category:Cerebral aqueduct,,Cerebral aqueduct,birnlex_1261,Part of ventricular system of brain consisting of a narrow channel in the midbrain connecting the third and fourth ventricles.  (Maryann Martone),,,aqueduct of Sylvius,,,":Category:Cerebral ventricular cavity,:Category:Midbrain",,,:Category:Regional part of brain,Regional part of brain
:Category:Cerebral cortex,,Cerebral cortex,birnlex_1494,"The thin layer of gray matter on the surface of the cerebral hemisphere that develops from the telencephalon.  It consists of the neocortex (6 layered cortex or isocortex), the hippocampal formation and the olfactory cortex.

The '''cerebral cortex''' is a sheet of neural tissue that is outermost to the cerebrum of the mammalian brain. It plays a key role in memory, attention, perceptual awareness, thought, language, and consciousness. It is constituted of up to six horizontal layers, each of which has a different composition in terms of neurons and connectivity.

One of the 10 basic divisions of the cerebrospinal axi. The cerebral cortex is the dorsal topographic division of the endbrain (Kuhlenbeck, 1927), with a basically radial, laminated architecture. The cerebral cortex was described and illustrated for macrodissected adult humans by Vesalius (1543), and the term itself was introduced for macrodissected adult humans by Bauhin (1605).",,,"Cortex,Pallium",,,:Category:Cerebrospinal axis,,,:Category:Regional part of brain,Regional part of brain
:Category:Cerebral crus,,Cerebral crus,birnlex_1218,,,,,,,":Category:White matter,:Category:Midbrain",,,:Category:Regional part of brain,Regional part of brain
:Category:Cerebral nuclei,,Cerebral nuclei,nlx_158496,"The ventral topographic division of the endbrain, with a basically nonlaminated architecture (Swanson, 2000).
The general outlines of the cerebral nuclei were described for macrodissected adult humans by Bartholin (1651), and a basic distinction during embryogenesis between cerebral cortex and cerebral nuclei was stressed by Baer (1837) and Reichert (1859-1861). The most common synonym today for cerebral nuclei, which was clearly defined by Swanson (2000), is basal ganglia (Warwick & Williams, 1973).",,,"Basal ganglia (Warwick & Williams,1973),Cerebral ganglia (Reil,1809),Corpus striatum (Willis,1664)",:Category:Vertebrata,,:Category:Cerebrospinal axis,,,:Category:Regional part of brain,Regional part of brain
:Category:Cerebral peduncle,,Cerebral peduncle,birnlex_1202,"Synonym for macrodissected adult human tegmentum (Vicq d'Azyr, 1784; Swanson, 2000); pp. 555-556. Later used thus by for example His (1893b, p. 178), Herrick (1915, p. 160), Strong & Elwyn (1943, p. 17), Carpenter (1976, p. 367), Williams & Warwick (1980, p. 935).",,,,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Cerebral white matter,,Cerebral white matter,birnlex_711,"White matter is one of the two main solid components of the central nervous system. It is composed of myelinated nerve cell processes, or axons, which connect various grey matter areas (the locations of nerve cell bodies) of the brain to each other and carry nerve impulses between neurons. Cerebral and spinal white matter do not contain dendrites, which can only be found in grey matter along with neural cell bodies and shorter axons (Christine Fennema-Notestine).",,,,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Cerebrospinal axis,,Cerebrospinal axis,nlx_158477,"The hollow tubular division of the nervous system that lies in the median plane, dorsal to a notochord and flanked by a bilateral series of segmental muscles.
It is the topographic division that corresponds to the vertebrate central nervous system.",,,,:Category:Vertebrata,,:Category:Nervous system,,,:Category:Regional part of brain,Regional part of brain
:Category:Cerebrum,,Cerebrum,birnlex_1042,"Gross division of the brain.  The term cerebrum has several definitions ranging in generality from equivalence to the term ""brain"" to the sum of the left cerebral hemisphere and right hemisphere, to a composite structure consisting of the cerebral cortex and adjacent cerebral white matter. A thorough discussion of the nature and history of the different definitions is presented in Anthoney-94 (NeuroNames).","The term cerebrum has several definitions ranging in generality from equivalence to the term ""brain"" to the sum of the left cerebral hemisphere and right hemisphere, to a composite structure consisting of the cerebral cortex and adjacent cerebral white matter. A thorough discussion of the nature and history of the different definitions is presented in Anthoney-94 (NeuroNames).,For most authors, this is the cerebral hemispheres plus the basal ganglia, but most clincians do not include the basal ganglia (MSH).",,,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Cervical dorsal root ganglion,,Cervical dorsal root ganglion,birnlex_2599,,,,,,,,,,:Category:Dorsal root ganglion,Dorsal root ganglion
:Category:Cervical spinal cord,,Cervical spinal cord,birnlex_1499,,,,,,,:Category:Spinal cord,,,:Category:Regional part of spinal cord,Regional part of spinal cord
:Category:Cervical spinal cord central canal,,Cervical spinal cord central canal,birnlex_1511,Part of central canal contained within the cervical spinal cord.  It is continuous caudally with the thoracic spinal cord central canal and rostrally with the fourth ventricle of the brain via the obex (http://en.wikipedia.org/wiki/Central_canal_of_spinal_cord_,,,,,,:Category:Spinal cord central canal,,,:Category:Regional part of spinal cord,Regional part of spinal cord
:Category:Cervical spinal cord dorsal column,,Cervical spinal cord dorsal column,birnlex_736,,,,Cervical spinal cord posterior column,,,:Category:Cervical spinal cord white matter,,,:Category:Regional part of cervical spinal cord white matter,Regional part of cervical spinal cord white matter
:Category:Cervical spinal cord dorsal horn,,Cervical spinal cord dorsal horn,birnlex_1673,,,,Cervical spinal cord posterior horn,,,:Category:Cervical spinal cord gray matter,,,:Category:Regional part of cervical spinal cord gray matter,Regional part of cervical spinal cord gray matter
:Category:Cervical spinal cord gray commissure,,Cervical spinal cord gray commissure,birnlex_1614,,,,,,,:Category:Cervical spinal cord gray matter,,,:Category:Regional part of cervical spinal cord gray matter,Regional part of cervical spinal cord gray matter
:Category:Cervical spinal cord gray matter,,Cervical spinal cord gray matter,birnlex_1521,,,,,,,:Category:Cervical spinal cord,,,:Category:Regional part of spinal cord,Regional part of spinal cord
:Category:Cervical spinal cord lateral column,,Cervical spinal cord lateral column,birnlex_729,,,,,,,:Category:Cervical spinal cord white matter,,,:Category:Regional part of cervical spinal cord white matter,Regional part of cervical spinal cord white matter
:Category:Cervical spinal cord lateral horn,,Cervical spinal cord lateral horn,birnlex_1665,,,,Cervical spinal cord intermediate horn,,,:Category:Cervical spinal cord gray matter,,,:Category:Regional part of cervical spinal cord gray matter,Regional part of cervical spinal cord gray matter
:Category:Cervical spinal cord ventral column,,Cervical spinal cord ventral column,birnlex_1660,,,,Cervical spinal cord anterior column,,,:Category:Cervical spinal cord white matter,,,:Category:Regional part of cervical spinal cord white matter,Regional part of cervical spinal cord white matter
:Category:Cervical spinal cord ventral commissure,,Cervical spinal cord ventral commissure,birnlex_1552,,,,"Cervical spinal cord anterior commissure,Cervical spinal cord anterior white commissure",,,":Category:Cervical spinal cord white matter,:Category:Ventral White Commissure",,,:Category:Regional part of cervical spinal cord white matter,Regional part of cervical spinal cord white matter
:Category:Cervical spinal cord ventral horn,,Cervical spinal cord ventral horn,birnlex_1680,,,,Cervical spinal cord anterior horn,,,:Category:Cervical spinal cord gray matter,,,:Category:Regional part of cervical spinal cord gray matter,Regional part of cervical spinal cord gray matter
:Category:Cervical spinal cord white matter,,Cervical spinal cord white matter,birnlex_1531,,,,,,,":Category:Cervical spinal cord,:Category:Spinal cord white matter",,,:Category:Regional part of cervical spinal cord,Regional part of cervical spinal cord
:Category:Chemoarchitectural part,,Chemoarchitectural part,nlx_anat_20090501,Regional part of an anatomical region that is revealed by the use of a stain that reveals chemoarchitecture.,,,,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Chemoarchitectural part of neostriatum,,Chemoarchitectural part of neostriatum,nlx_anat_20090502,,,,,,,,,,:Category:Chemoarchitectural part,Chemoarchitectural part
:Category:Choroid plexus,,Choroid plexus,UBERON:0001886,a structure consisting of modified ependymal cells in the ventricles of the brain responsible for the production of cerebral spinal fluid (CSFF).,,,,,,,,:Category:Cerebral Spinal Fluid,:Category:Regional part of brain,Regional part of brain
:Category:Choroid plexus of fourth ventricle,,Choroid plexus of fourth ventricle,nlx_27388,Choroid plexus of the fourth ventricle,,,,,,":Category:Choroid plexus,:Category:Fourth ventricle",,,:Category:Regional part of brain,Regional part of brain
:Category:Choroid plexus of lateral ventricle,,Choroid plexus of lateral ventricle,nlx_32548,Part of choroid plexus contained in the lateral ventricle,,,,,,":Category:Choroid plexus,:Category:Lateral ventricle",,,:Category:Regional part of brain,Regional part of brain
:Category:Choroid plexus of third ventricle,,Choroid plexus of third ventricle,nlx_18606,Part of choroid plexus contained in the third ventricle,,,,,,":Category:Choroid plexus,:Category:Third ventricle",,,:Category:Regional part of brain,Regional part of brain
:Category:Cingulate cortex,,Cingulate cortex,birnlex_934,,,,,,,:Category:Cingulate gyrus,,,:Category:Regional part of brain,Regional part of brain
:Category:Cingulate gyrus,,Cingulate gyrus,birnlex_798,"One of the convolutions on the medial surface of the cerebral hemisphere. It surrounds the rostral part of the brain and interhemispheric commissure and forms part of the limbic system. (MSH)  One of three essential structures comprising the limbic lobe, the other two being the hippocampus and parahippocampal gyrus. (CSP)",,,"cingulate region,cingulate area",:Category:Human,,:Category:Limbic lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Cingulate sulcus,,Cingulate sulcus,birnlex_1468,,,,"callosomarginal fissure,calloso-marginal sulcus,Sulcus cingulatus,Sulcus callosomarginalis,cingulate fissure,callosomarginal sulcus,Sulcus cinguli",,,:Category:Cerebral cortex,,,:Category:Sulcus,Sulcus
:Category:Circuit part of central nervous system,,Circuit part of central nervous system,birnlex_2513,,,I don't understand this category?  What is it meant to describe?  We already have categories for intrinsic neurons and principle neurons.,,,,:Category:Central nervous system,,,:Category:Central nervous system,Central nervous system
:Category:Circular sulcus of insula,,Circular sulcus of insula,birnlex_1475,,,,"Sulcus marginalis insulae,circuminsular sulcus,circular fissure,ciruclar insular sulcus,marginal insular sulcus,Sulcus circularis insulae,circular sulcus (of Reil),limiting fissure",:Category:Human,,:Category:Insula,,,:Category:Sulcus,Sulcus
:Category:Circumventricular organ,,Circumventricular organ,nlx_anat_20090312,Brain region located around or in relation to the ventricular system that is highly vascularized and distinguished by the lack of a blood brain barrier.,,,,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Clarke's Nucleus,,Clarke's Nucleus,nlx_anat_20090102,A rounded collection of cells locat4ed on the medial surface of the base of the posterior horn. Considered by many to be a part of the posterior horn. Two column-shaped nuclear masses formed by large cells. Clarke's nuclei are located in the regions dorsolateral to the central canal in the thoratic and upper lumbar segments.,,,"nucleus dorsalis,Clarke's column",,,":Category:Lumbar spinal cord dorsal horn,:Category:Thoracic spinal cord dorsal horn",,,:Category:Regional part of spinal cord,Regional part of spinal cord
:Category:Claustral amygdaloid area,,Claustral amygdaloid area,birnlex_1515,,,,,,,:Category:Telencephalon,,,:Category:Regional part of brain,Regional part of brain
:Category:Claustrum,,Claustrum,birnlex_1522,"Lamina of gray matter in the forebrain separated from the cortex in most species by the extreme capsule. (Brodal, Neurological Anatomy, 3rd Ed., 1981, pg 225).",,Essay on claustrum for class project:  http://neurolex.org/wiki/What_is_the_claustrum,"insular claustrum,claustrum proper",":Category:Mammal,:Category:Macaque",,":Category:Telencephalon,:Category:Basal nuclear complex",,,:Category:Regional part of brain,Regional part of brain
:Category:Cochlear nuclear complex,,Cochlear nuclear complex,birnlex_1151,,,,"Cochlear nucleus,Cochlear nuclei",:Category:Mammal,,:Category:Medulla oblongata,:Category:Cranial nerve nucleus,,:Category:Regional part of brain,Regional part of brain
:Category:Collateral sulcus,,Collateral sulcus,birnlex_1480,Sulcus that runs from the anterior part of the human medial temporal lobe along the parahippocampal gyrus into the occipital lobe,,,"Sulcus collateralis,collateral fissure",:Category:Human,,:Category:Cerebral cortex,,,:Category:Sulcus,Sulcus
:Category:Commissural nucleus of the solitary tract,,Commissural nucleus of the solitary tract,nlx_144259,,,,commissural nucleus tractus solitarius,,:Category:Solitary nucleus commissural part of PHT00,,,,:Category:Regional part of brain,Regional part of brain
:Category:Commissural nucleus of vagus nerve,,Commissural nucleus of vagus nerve,birnlex_2639,,,,nucleus of inferior commisure,,,:Category:Medulla oblongata,,,:Category:Regional part of brain,Regional part of brain
:Category:Commissure,,Commissure,nlx_110,"White matter fiber bundle that crosses the midline of the brain or spinal cord, that connects similar structures on both sides (Heimer, L. The Human Brain, 2nd ed., 1995, pg 6).",,,,,,,:Category:CUMBO term,,:Category:Regional part of nervous system,Regional part of nervous system
:Category:Commissure of fornix,,Commissure of fornix,birnlex_746,,,,"dorsal hippocampal commissure,fornical commissure,hippocampal commissure",,,:Category:Fornix,,,:Category:Commissure,Commissure
:Category:Commissure of inferior colliculus,,Commissure of inferior colliculus,birnlex_935,,,,,,,":Category:Inferior colliculus,:Category:White matter",,,:Category:Commissure,Commissure
:Category:Commissure of superior colliculus,,Commissure of superior colliculus,birnlex_1073,,,,,,,":Category:White matter,:Category:Midbrain tectum",,,:Category:Commissure,Commissure
:Category:Composite part spanning multiple base regional parts of brain,,Composite part spanning multiple base regional parts of brain,birnlex_1304,,,,,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Copula pyramidis,,Copula pyramidis,nlx_153834,A part of the cerebellar hemisphere in the mouse ( Paxinos-2001 ) and the rat ( Swanson-1998 ) that corresponds laterally to the pyramis of the vermis of the cerebellum. It is regarded as the rodent homolog of the 'lateral belly' of the the biventer lobule of the human (Voogd-1990) (Adapted from NeuroNames:  http://braininfo.rprc.washington.edu/centraldirectory.aspx?ID=1894),,I'm not sure whether this is synonymous with lobule VIII.  I don't think so;  I think it's the lateral part.  But needs checking by an expert.,Copula of the pyramis,,,:Category:Hemispheric lobule VIII,,,:Category:Regional part of brain,Regional part of brain
:Category:Core of nucleus accumbens,,Core of nucleus accumbens,nlx_anat_20090306,,,,Nucleus accumbens core,,,:Category:Nucleus accumbens,,,:Category:Regional part of brain,Regional part of brain
:Category:Corona radiata,,Corona radiata,nlx_anat_090903,"Fan shaped white matter mass comprised of afferent and efferent fibers from the cerebral cortex arranged in radially arrayed bundles, converging towards the internal capsule (Carpenter, Core Text of Neuroanatomy, 3rd ed, 1985, pg. 30;  Heimer, The Human Brain and Spinal Cord, 2nd ed., 1995, pg 84).",,,,,,":Category:White matter,:Category:Telencephalon",,,:Category:Regional part of brain,Regional part of brain
:Category:Corpora quadrigema,,Corpora quadrigema,nlx_158517,"Synonym of the human macrodissected human tectum, described by Winslow (1733). In english: quadrigeminal body.",,,"Tectum,Midbrain tectum",:Category:Vertebrata,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Corpus callosum,,Corpus callosum,birnlex_1087,"White matter structure containing massive numbers of commissural fibers connecting cortical areas in the two cerebral hemispheres.it is subdivided into a genu, a rostrum, a body, and a splenium.  (MM)",,,,,,":Category:Telencephalon,:Category:White matter",,,:Category:Commissure,Commissure
:Category:Cortical amygdaloid nucleus,,Cortical amygdaloid nucleus,birnlex_2700,Three layered structure that is located in the caudal aspect of the amygdala bordering the periamygdaloid cortex laterally.,,,"posterior amygdaloid area,posterior cortical nucleus,posterior cortical amygdaloid nucleus",,,:Category:Corticomedial nuclear complex,,,:Category:Regional part of brain,Regional part of brain
:Category:Corticomedial nuclear complex,,Corticomedial nuclear complex,birnlex_2680,"These structures are referred to as nuclei but have a layered cortical like structure. These areas include the anterior amygdaloid area, posterior amygdaloid area, the periamygdaloid cortex, and the bed nucleus of the accessory olfactory tract.",,,"corticomedial nuclear group,pars corticomedialis (Corpus amygdaloideum),amygdalar corticomedial nucleus,superficial nuclei",,,:Category:Amygdala,,,:Category:Regional part of brain,Regional part of brain
:Category:Corticotectal tract,,Corticotectal tract,birnlex_1016,,,,,,,":Category:White matter,:Category:Midbrain tectum",,,:Category:Regional part of brain,Regional part of brain
:Category:Cranial ganglion part of peripheral nervous system,,Cranial ganglion part of peripheral nervous system,birnlex_2597,,,,,,,,,,:Category:Ganglion part of peripheral nervous system,Ganglion part of peripheral nervous system
:Category:Cranial nerve nucleus,,Cranial nerve nucleus,nlx_28532,Nucleus that receives projections from or contains neurons that send projections through one of the cranial nerves,,,cranial nerve nuclei,,,,,,:Category:Nucleus of CNS,Nucleus of CNS
:Category:Culmen,,Culmen,birnlex_926,,,,,,,,,,:Category:Lobular parts of the cerebellar cortex,Lobular parts of the cerebellar cortex
:Category:Cuneate fasciculus of medulla,,Cuneate fasciculus of medulla,birnlex_1242,Part of cuneate fasciculus found in the medulla,,,,,,":Category:Medulla oblongata,:Category:White matter",,,:Category:Regional part of brain,Regional part of brain
:Category:Cuneate fasciculus of spinal cord,,Cuneate fasciculus of spinal cord,nlx_143971,Part of cuneate fasciulus located in dorsal funiculus of the spinal cord,,,fasiculus cuneatus of spinal cord,,,:Category:Dorsal column of spinal cord,,,:Category:Regional part of spinal cord,Regional part of spinal cord
:Category:Cuneate nucleus,,Cuneate nucleus,birnlex_2640,,,,"Burdachs nucleus,cuneate",,,":Category:Medulla oblongata,:Category:Dorsal column nucleus",,,:Category:Nucleus of CNS,Nucleus of CNS
:Category:Cuneiform nucleus,,Cuneiform nucleus,birnlex_1430,,,,,,,:Category:Midbrain reticular formation,,,:Category:Regional part of brain,Regional part of brain
:Category:Cuneocerebellar tract,,Cuneocerebellar tract,birnlex_1238,White matter tract that originates from the cuneate and external cuneate nuclei.  It relays ascending spinal fibers in the dorsal funiculus and conveys information from forelimbs to the cerebellum.,,,cuneocerebellar fibers,,,":Category:White matter,:Category:Medulla oblongata",,,:Category:Regional part of brain,Regional part of brain
:Category:Cuneus cortex,,Cuneus cortex,birnlex_1396,Component of the occipital lobe.  The rostral boundary was the first coronal slice above the calcarine sulcus where the cuneus cortex becomes visible whereas the caudal boundary was the last slice where the calcarine sulcus was visualized. The medial boundary was the most medial portion of the occipital and parietal cortices. The superio-lateral boundary was the parieto-occipital fissure whereas the inferolateral boundary was the pericalcarine cortex (Christine Fennema-Notestine).,,,"cuneate lobule,cuneus gyrus,cuneus of hemisphere,cuneus",:Category:Human,,:Category:Occipital lobe,,,:Category:Regional part of brain,Regional part of brain
:Category:Cytoarchitectural fields of hippocampal formation,,Cytoarchitectural fields of hippocampal formation,birnlex_1192,,,,,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Cytoarchitectural part of dentate gyrus,,Cytoarchitectural part of dentate gyrus,birnlex_4126,,,,,,,,,,:Category:Regional part of brain,Regional part of brain
:Category:Cytoarchitectural part of spinal cord gray matter,,Cytoarchitectural part of spinal cord gray matter,nlx_75658,,,,,,,,,,:Category:Regional part of spinal cord,Regional part of spinal cord
:Category:Decussation,,Decussation,nlx_144064,"Nerve fibers crossing the midline of the neuraxis relative to their point of origin, on a course to from one level of the nervous system to another. (Heimer, L. The Human Brain, 2nd ed., 1995, pg 6).",,,,,,,:Category:CUMBO term,,:Category:Regional part of nervous system,Regional part of nervous system
:Category:Decussation of medial lemniscus,,Decussation of medial lemniscus,birnlex_1245,Crossing of fibers of medial lemniscus in the caudal medulla,,,"decussation of medial lemnisci,medullary sensory decussation,decussation of lemnisci,decussation of lemniscus,sensory decussation",,,":Category:Medulla oblongata,:Category:Medial lemniscus",,,:Category:Decussation,Decussation
:Category:Decussation of superior cerebellar peduncle,,Decussation of superior cerebellar peduncle,birnlex_1089,"Part of superior cerebellar peduncle located in the caudal midbrain, at the level of the inferior colliculus, consisting of a large bundle of fibers crossing the midline.  It contains fibers projecting from the deep cerebellar nucleus to the midbrain and thalamus through the superior cerebellar peduncle (MM).",,,,,,":Category:White matter,:Category:Midbrain tegmentum,:Category:Superior cerebellar peduncle",,,:Category:Decussation,Decussation
:Category:Decussation of trochlear nerve,,Decussation of trochlear nerve,birnlex_1690,,,,,,,":Category:Pontine tegmentum,:Category:Trochlear nerve",,,:Category:Decussation,Decussation
:Category:Deep cerebellar nuclear complex,,Deep cerebellar nuclear complex,birnlex_1568,,,,"intracerebellar nuclei,deep cerebellar nuclei,Cerebellar nuclei",,,:Category:Cerebellum,,,:Category:Regional part of brain,Regional part of brain
:Category:Densocellular part of medial dorsal nucleus,,Densocellular part of medial dorsal nucleus,birnlex_1255,,,,"pars densocellularis,nucleus medialis dorsalis,nucleus medialis dorsalis paralamellaris (Hassler)",,,:Category:Medial dorsal nucleus,,,:Category:Regional part of brain,Regional part of brain
:Category:Dentate gyrus,,Dentate gyrus,birnlex_1178,"Part of the hippocampal formation forming a ""V"" or ""U"" shaped structure with the opening bounded by hippocampal area CA3.  It consists of 3 layers from superficial to deep:  molecular, granule cell and polymorphic or hilar layer.",,,fascia dentata,,,:Category:Hippocampal formation,,,:Category:Regional part of brain,Regional part of brain
:Category:Dentate gyrus granule cell layer,,Dentate gyrus granule cell layer,birnlex_4129,"Layer of the dentate gyrus characterized by dense packing of dentate gyrus granule cell bodies, lying deep to the molecular layer of the dentate gyrus and superficial to the polymorphic (hilar) layer",,,"granular layer of dentate gyrus,DG granule cell layer,dentate gyrus stratum granulosum,DG stratum granulosum,dentate gyrus principal cell layer",,,:Category:Dentate gyrus,,,:Category:Cell layer,Cell layer
:Category:Dentate gyrus granule cell layer inner blade,,Dentate gyrus granule cell layer inner blade,nlx_anat_1008005,,,,"inner blade of dentate gyrus granule cell layer,inner blade of stratum granulare,Enclosed blade of stratum granulare,extrapyramidal blade of stratum granulare,extrapyramidal blade dentate gyrus granule cell layer",,,:Category:Dentate gyrus granule cell layer,,,:Category:Cell layer,Cell layer
:Category:Dentate gyrus granule cell layer outer blade,,Dentate gyrus granule cell layer outer blade,nlx_anat_1008006,,,,"outer blade of dentate gyrus granule cell layer,outer blade of stratum granulare,exposed blade of stratum granulare,infrapyramidal blade of stratum granulare,infrapyramidal blade dentate gyrus granule cell layer",,,:Category:Dentate gyrus granule cell layer,,,:Category:Cell layer,Cell layer
:Category:Dentate gyrus hilus,,Dentate gyrus hilus,birnlex_1482,"Layer of the dentate gyrus lying deep to the granule cell layer, within the opening of the ""C"" or ""V"" formed by the granule cell layer characterized by loosely packed polymorphic cells",,,"Hilus,Polymorphic layer of dentate gyrus,dentate gyrus polymorphic layer,hilus of dentate gyrus",,:Category:CA4,:Category:Dentate gyrus,,,:Category:Cytoarchitectural part of dentate gyrus,Cytoarchitectural part of dentate gyrus
:Category:Dentate gyrus molecular layer,,Dentate gyrus molecular layer,birnlex_4127,The molecular layer of the dentate gyrus that is bounded by the pial surface superficially and the dentate gyrus granule cell layer deep.  It is divided into 2 or more sublayers.,,,"Molecular layer of dentate gyrus,DG molecular layer,dentate gyrus molecular layer,dentate gyrus stratum moleculare",,,:Category:Dentate gyrus,,,":Category:Cell layer,:Category:Cytoarchitectural part of dentate gyrus",Cell layer
:Category:Dentate gyrus molecular layer inner,,Dentate gyrus molecular layer inner,nlx_anat_1008004,Inner third of the dentate gyrus,,,"inner layer of dentate gyrus molecular layer,DG inner stratum moleculare",,,:Category:Dentate gyrus molecular layer,,,:Category:Cell layer,Cell layer
:Category:Dentate gyrus molecular layer middle,,Dentate gyrus molecular layer middle,nlx_anat_1008003,,,,"DG middle stratum moleculare,middle layer of dentate gyrus molecular layer",,,:Category:Dentate gyrus molecular layer,,,:Category:Cell layer,Cell layer
:Category:Dentate gyrus molecular layer outer,,Dentate gyrus molecular layer outer,nlx_anat_1008002,,,,"DG outer stratum moleculare,outer molecular layer of dentate gyrus",,,:Category:Dentate gyrus molecular layer,,,:Category:Cell layer,Cell layer
:Category:Dentate gyrus polymorphic layer,,Dentate gyrus polymorphic layer,"nlx_42439,birnlex_4128",,,,,,,:Category:Dentate gyrus,,,:Category:Cell layer,Cell layer
:Category:Dentate nucleus,,Dentate nucleus,birnlex_1171,,,,"lateral cerebellar nucleus,dentate cerebellar nucleus",,,:Category:Deep cerebellar nuclear complex,,,:Category:Regional part of brain,Regional part of brain
