,Label,Synonym,Id,PMID,DefiningCitation,SuperCategory,Species,Definition,DefiningCriteria,Has role,FBbt Id,Abbrev,FBBT Link
:Category:Extrastriate cortex,Extrastriate cortex,extrastriate areas,nlx_anat_200905010,,,Regional part of brain,,"A group of cortical areas related by direct or indirect connectivity to the striate area 17 and functionally involved primarily in vision. They include the parastriate area 18, the peristriate area 19 and adjacent areas in the parietal lobe and temporal lobe (Adapted from BrainInfo and Zilles-1990).",,,,,
:Category:Extreme capsule,Extreme capsule,,nlx_21887,,,Regional part of brain,,Thin band of fibers separating the claustrum from the insular cortex,,,,,
:Category:Facial (accessory) nucleus,Facial (accessory) nucleus,"Accessory facial nucleus,dorsal facial nucleus",nlx_157278,,,Regional part of brain,:Category:Mammal,A small cluster of neurons dorsal to the facial nucleus in the pontine tegmentum. It has been reported for the human (Brain Info:  http://braininfo.rprc.washington.edu/centraldirectory.aspx?ID=1924),,,,,
:Category:Facial nerve root,Facial nerve root,,birnlex_1513,,,Superficial feature part of pons,,,,,,,
:Category:Facial nucleus,Facial nucleus,Facial motor nucleus,birnlex_903,,,Nucleus of CNS,,Nucleus located in the pontine tegmentum containing motor neurons that innervate the muscles of the face.  Some neurons that project to the cerebellum have also been identified in some species.,,,,7N,
:Category:Fasciculus,Fasciculus,,birnlex_872,,,Composite part spanning multiple base regional parts of brain,,"A bundle of anatomical fibers, as of muscle or nerve (American Heritage Dictionary 4th ed)",,,,,
:Category:Fasciola cinerea,Fasciola cinerea,"fasciolar gyrus,gyrus fasciolaris",nlx_144464,,,Regional part of brain,,,,,,,
:Category:Fasciolar gyrus,Fasciolar gyrus,,birnlex_1129,,,Regional part of brain,,,,,,,
:Category:Fastigial nucleus,Fastigial nucleus,"fastigial cerebellar nucleus,medial (fastigial) nucleus,medial cerebellar nucleus,nucleus fastigii",birnlex_1146,,,Regional part of brain,,,,,,Fas,
:Category:Field H1 of Forel,Field H1 of Forel,"thalamic fasiculus,field H1,Forel's field H1",nlx_86272,,,Regional part of brain,,"Predominantly white matter structure in the subthalamus, corresponding to the thalamic fasiculus (adapted from Wikipedia)",,,,,
:Category:Field L,Field L,,nlx_144026,,,Regional part of brain,:Category:Aves,The primary thalamorecipient forebrain auditory region.  This term is mainly used in avian neuroanatomy,connectivity,,,,
:Category:Fimbria of hippocampus,Fimbria of hippocampus,"fimbria of the fornix,fimbria,fimbria-fornix",birnlex_1502,,,Regional part of brain,,Part of fornix lying closest to the hippocampal formation continuos with the alveus.,,,,,
:Category:Flocculonodular lobe,Flocculonodular lobe,"vestibulocerebellum,archicerebellum,Archaeocerebellum,Archeocerebellum",birnlex_904,,,Regional part of brain,,,,,,,
:Category:Flocculus,Flocculus,,birnlex_1329,,,Regional part of brain,,,,,,Fl,
:Category:Forebrain,Forebrain,prosencephalon,birnlex_1509,,UMLS,Regional part of brain,,"The part of the brain developed from the most rostral of the three primary vesicles of the embryonic neural tube and consisting of the DIENCEPHALON and TELENCEPHALON. (MSH) * part of the brain developed from the most rostral of the three primary vesicles of the embryonic neural tube (brain) from which the diencephalon and telencephalon are derived; also called the forebrain. (CSP), The part of the brain developed from the most rostral of the three primary vesicles of the embryonic neural tube and consisting of the Diencephalon and Telencephalon.",,:Category:PONS reference structure,,FB,
:Category:Fornix,Fornix,,birnlex_705,,,Regional part of brain,,"White matter structure carrying axons connecting the hippocampal formation to other brain regions.  It is typically divided into the columns (crus), body, commissure and the pre-commissural and post-commissural fornix (MM).",,,,,
:Category:Fourth ventricle,Fourth ventricle,4th ventricle,birnlex_1256,,,Regional part of brain,:Category:Mammal,"Part of the ventricular system of the brain, forming a single large irregularly shaped cavity located on the midline of the rhombencephalon, between the medulla, pons and the isthmus ventrally and the cerebellum dorsally. It is continuous with the cerebral aqueduct anteriorally and the central canal of the spinal cord posteriorly. It communicates with the subarachnoid space through its lateral and median apertures.",,,,,
:Category:Frontal cortex,Frontal cortex,,nlx_anat_20090601,,,Regional part of brain,,"Anterior portion of the frontal cortex, lying anterior to the central sulcus in humans.  It is bounded by the parietal cortex posteriorly and the temporal cortex laterally.",,,,,
:Category:Frontal eye field,Frontal eye field,,nlx_144111,,,Functional part of brain,,"Region of frontal cortex from which conjugate eye movements can be elicted (Brodal, Neurological Anatomy, 2nd ed., 1981, pg. 546)",,,,,
:Category:Frontal lobe,Frontal lobe,,birnlex_928,,,Regional part of brain,,The anterior part of the cerebral hemisphere. (MSH),,,,,
:Category:Frontal lobe of human,Frontal lobe of human,,FMAID: 61824,,http://sig.biostr.washington.edu/fma3.0#Frontal_lobe,Regional part of brain,,Frontal lobe of human is the anterior-most of five lobes of the cerebral hemisphere. It is bounded by the central sulcus on its posterior border and by the longitudinal cerebral fissure on its medial border (FMA).,,,,,
:Category:Frontal operculum,Frontal operculum,inferior frontal gyrus pars opercularis,birnlex_751,,,Regional part of brain,:Category:Human,Portion of frontal lobe that overlaps the insular cortex (adapted from Wikipedia),topography,,,,
:Category:Frontal pole,Frontal pole,,birnlex_1716,,,Regional part of brain,:Category:Mammal,Component of the frontal lobe.  The rostral and caudal boundaries of the frontal pole are the superior frontal gyrus and the rostral division of the middle frontal gyrus respectively in human (Christine Fennama-Notestine).,,,,,
:Category:Fronto-orbital gyrus,Fronto-orbital gyrus,orbitofrontal gyrus,birnlex_1243,,,Regional part of brain,:Category:Macaque,,,,,,
:Category:Functional part of brain,Functional part of brain,,nlx_155513,,,Regional part of brain,,"A brain region defined by functional criteria, e.g. auditory cortex, rather than by structural or histological criteria.",,,,,
:Category:Fundus striati,Fundus striati,"fundus of the striatum,striatal fundus",nlx_144261,,,Regional part of brain,":Category:Primate,:Category:Carnivora","The ventral portion of the dorsal striatum, linking the caudate nucleus and the putamen anteriorly (adapted from Wikipedia)",,,,,
:Category:Fusiform gyrus,Fusiform gyrus,"occipitotemporal gyrus,lateral occipitotemporal gyrus,lateral occipito-temporal gyrus,Gyrus fusiformis,Gyrus occipitotemporalis lateralis",birnlex_1641,,,Regional part of brain,:Category:Human,,,,,,
:Category:Genu of corpus callosum,Genu of corpus callosum,"genu,genu of corpus callosum,Genu corporis callosi",nlx_144462,,,Regional part of brain,:Category:Mammal,"Part of corpus callosum comprising the ""kneelike"" anterior bend (adapted from Nolte, The Human Brain, 6th ed., 2009 pg 664)",,,,,
:Category:Gigantocerebellum,Gigantocerebellum,,nlx_89001,,,Cerebellum,:Category:Mormyridae,"Cerebellum of weakly electric fish notable for its large size relative to body weight (Squire et al., Fundamental neuroscience, Elsevier, 2008, pg 752.",,,,,
:Category:Globose nucleus,Globose nucleus,"posterior interposed nucleus,Nucleus globosus,posterior interpositus nucleus",birnlex_1158,,,Regional part of brain,,One of two nuclei comprising the interpositus cerebellar nuclear complex of the deep cerebellar nuclei.  It is  recognized in human cerebellum but is not distinguishable in all mammalian species.,,,,Glo,
:Category:Globus pallidus,Globus pallidus,Pale Body,birnlex_1234,,,Regional part of brain,,"Subcortical nucleus, functionally part of the basal ganglia, which consists of two segments the external (or lateral) and internal (or medial) separated by the medial medullary lamina in primates.  In rodents, The globus pallidus lateral is separated from the medial segment by the fibers of the internal capsule/cerebral peduncle.",,,,GP,
:Category:Globus pallidus external segment,Globus pallidus external segment,"external part of globus pallidus,lateral segment of globus pallidus,lateral globus pallidus,lateral pallidum,external pallidum",birnlex_1610,,,Regional part of brain,,"The more lateral of the two segments of the globus pallidus, abutting the putamen in species which have both a caudate and putamen;  the caudoputamen in other species.",,,,"Gpe, EGP",
:Category:Globus pallidus internal segment,Globus pallidus internal segment,"internal part of globus pallidus,Internal pallidum,medial segment of globus pallidus,globus pallidus internus",birnlex_1555,,,Regional part of brain,,The more medial segment of the globus pallidus.,,,,Gpi,
:Category:Glossopharyngeal nerve fiber bundle,Glossopharyngeal nerve fiber bundle,"glossopharyngeal nerve fibers,ninth cranial nerve fibers,central part of glossopharyngeal nerve",birnlex_1274,,,Regional part of brain,,,,,,,
:Category:Glycogen body,Glycogen body,,nlx_151880,,,Regional part of brain,:Category:Aves,"A gelatinous mass that surrounds the central canal in the lumbosacral sinus in the caudal spinal cord of birds. It is  made of specialized cells that contain large amounts of glycogen.  The function of this structure is not known, but it does not seem to be related to the normal function of glycogen in animals, which is the storage of energy. (adapted from Butler and Hodos, Comparative Vertebrate Neuroanatomy, 2nd ed, 2005, pg. 146 and Wikipedia)",,,,,
:Category:Gracile fasciculus,Gracile fasciculus,,nlx_144039,,,Regional part of brain,,"Axon bundle arising largely from the dorsal root ganglia of the lower spinal cord, ascending in humans in the dorsal funiculus, synapsing within the nucleus gracilis of the lower medulla.",,,,,
:Category:Gracile fasciculus of medulla,Gracile fasciculus of medulla,gracile fascicle (Gall),birnlex_1282,,,Regional part of brain,,Part of gracile fasiculus located in the medulla,,,,,
:Category:Gracile nucleus,Gracile nucleus,"nucleus gracilis,Golls nucleus",birnlex_2643,,,Nucleus of CNS,,Nucleus in the caudal medulla that receive projections primarily from ipsilateral dorsal root ganglion cells via the posterior column of the spinal cord,,,,,
:Category:Gross anatomical parts of the cerebellum,Gross anatomical parts of the cerebellum,,birnlex_996,,,Regional part of cerebellum,,,,,,,
:Category:Gyrus rectus,Gyrus rectus,straight gyrus,birnlex_1103,,,Regional part of brain,:Category:Human,,,,,RG,
:Category:Habenula,Habenula,"habenular nucleus,habenular nuclei",birnlex_1611,,,Regional part of brain,,,,,,Hb,
:Category:Habenulo-interpeduncular tract of diencephalon,Habenulo-interpeduncular tract of diencephalon,,birnlex_1176,,,Regional part of brain,,,,,,,
:Category:Habenulo-interpeduncular tract of midbrain,Habenulo-interpeduncular tract of midbrain,,birnlex_895,,,Regional part of brain,,,,,,hipm,
:Category:Head of caudate nucleus,Head of caudate nucleus,,birnlex_1212,,,Regional part of brain,,Largest part of the caudate nucleus lying lateral to and protruding into the anterior of the lateral ventricle,,,,,
:Category:Hemisphere of cerebral cortex,Hemisphere of cerebral cortex,Cerebral hemisphere,birnlex_1796,,,Regional part of brain,,,,,,,
:Category:Hemispheric Lobule II,Hemispheric Lobule II,"Alar Central Lobule,Central Lobule (HII)",nlx_anat_20081202,,,Regional Parts of the Hemisphere Lobules,,,,,,,
:Category:Hemispheric Lobule III,Hemispheric Lobule III,"Alar Central Lobule,Central Lobule (HIII)",nlx_anat_20081203,,,Regional Parts of the Hemisphere Lobules,,,,,,,
:Category:Hemispheric Lobule IV,Hemispheric Lobule IV,"Lobulus Quadrangularis Anterior,Lobulus Anterior,Quadrangular Lobule,Anterior Quadrangular Lobule,Culmen Lobule (HIV)",nlx_anat_20081204,,,Regional Parts of the Hemisphere Lobules,,,,,,,
:Category:Hemispheric Lobule IX,Hemispheric Lobule IX,"Tonsilla,Paraflocculus,Cerebellar Tonsil,Tonsil  (HXI)",nlx_anat_20081212,,,Regional Parts of the Hemisphere Lobules,,,,,,,
:Category:Hemispheric Lobule V,Hemispheric Lobule V,"Lobulus Quadrangularis Anterior,Lobulus Anterior,Quadrangular Lobule,Anterior Quadrangular Lobule,Culmen Lobule (HV)",nlx_anat_20081205,,,Regional Parts of the Hemisphere Lobules,,,,,,,
:Category:Hemispheric Lobule VI,Hemispheric Lobule VI,"Lobulus Quadrangularis Posterior,Lobulus Simplex,Simplex Lobule,Simple Lobule,Simplex (HVI)",nlx_anat_20081206,,,Regional Parts of the Hemisphere Lobules,,,,,,Sim,
:Category:Hemispheric Lobule VII,Hemispheric Lobule VII,,nlx_anat_20081207,,,Regional Parts of the Hemisphere Lobules,,,,,,,
:Category:Hemispheric Lobule VIIA,Hemispheric Lobule VIIA,"Lobulus Semilunaris Superior,Lobulus Ansiform Crus I,Superior Semilunar Lobule,Crus I of the Ansiform Lobule (HVII),ansiform lobule crus 1",nlx_anat_20081208,,,Regional part of brain,,,,,,,
:Category:Hemispheric Lobule VIIBi,Hemispheric Lobule VIIBi,"Lobulus Semilunaris Inferior,Lobulus Ansiform Crus II,Inferior Semilunar Lobule,Crus II of the Ansiform Lobule (HVII)",nlx_anat_20081209,,,Hemispheric Lobule VII,,,,,,,
:Category:Hemispheric Lobule VIIBii,Hemispheric Lobule VIIBii,"Lobulus Gracilis,Lobulus Paramedianus,Gracile Lobule,Paramedian 1 (HVII),Paramedian lobule",nlx_anat_20081210,,,Hemispheric Lobule VII,,,,,,,
:Category:Hemispheric Lobule X,Hemispheric Lobule X,Flocculus,nlx_anat_20081213,,,Regional Parts of the Hemisphere Lobules,,,,,,,
:Category:Hemispheric lobule VIII,Hemispheric lobule VIII,"Lobulus Biventer,Paraflocculus Dorsalis,Biventral Lobule,Biventer 1 (HVIII)",nlx_anat_20081211,,,Regional Parts of the Hemisphere Lobules,,,,,,,
:Category:Hemispheric part of the anterior lobe of the cerebellum,Hemispheric part of the anterior lobe of the cerebellum,,birnlex_1339,,,Hemispheric parts of the cerebellar cortex,,,,,,,
:Category:Hemispheric part of the flocculonodular lobe of the cerebellum,Hemispheric part of the flocculonodular lobe of the cerebellum,,nlx_anat_20081260,,,Hemispheric parts of the cerebellar cortex,,,,,,,
:Category:Hemispheric part of the posterior lobe of the cerebellum,Hemispheric part of the posterior lobe of the cerebellum,,nlx_anat_20081261,,,Hemispheric parts of the cerebellar cortex,,,,,,,
:Category:Hemispheric parts of the cerebellar cortex,Hemispheric parts of the cerebellar cortex,,birnlex_1334,,,Regional part of a lobe of the cerebellum,,,,,,,
:Category:Hilum of dentate nucleus,Hilum of dentate nucleus,,birnlex_1561,,,Regional part of brain,,,,,,hdt,
:Category:Hindbrain,Hindbrain,rhombencephalon,birnlex_942,,,Regional part of brain,,Part of the brainconstituting the MEDULLA OBLONGATA (myelencephalon) and PONS (metencephalon). (adapted from MSH) * part of the brain developed from the posterior of the three primary brain vesicles of the embryonic neural tube; it comprises the metencephalon (cerebellum and pons) and myelencephalon (medulla oblongata). (CSP),,:Category:PONS reference structure,,,
:Category:Hippocampal formation,Hippocampal formation,,birnlex_715,,,Regional part of brain,,"A part of the brain consisting of a three layered cortex located in the forebrain bordering the medial surface of the lateral ventricle.  The term hippocampal formation  is often used synonymously with hippocampus which consists of the hippocampus proper or Cornu Ammonis, the dentate gyrus and the subicular complex",,,,,
:Category:Hippocampus,Hippocampus,"Cornu ammonis,Ammon's horn,hippocampus proper,ammon horn,hippocampal",birnlex_721,,,Regional part of brain,:Category:Mammal,"A part of the hippocampal formation consisting of a three layered cortex located in the forebrain bordered by the medial surface of the lateral ventricle, the dentate gyrus and the subiculum.  It has 3 subfields termed CA1, CA2 and CA3. The term hippocampus is often used synonymously with  hippocampal formation which consists of the hippocampus proper or Cornu Ammonis, the dentate gyrus and the subiculum.",,,,Hip,
:Category:Hippocampus regio inferior of Cajal,Hippocampus regio inferior of Cajal,regio inferior,nlx_anat_1008014,,,Cytoarchitectural fields of hippocampal formation,,"One of two cytoarchitectural division of hippocampus proposed by Ramon y Cajal consisting of a large-celled proximal region of the hippocampus proper.  This region corresponds to CA2 and CA3 in the nomenclature proposed by Lorente de No (Adapted from Paxinos, G. The rat nervous system, Ed 2, Academic Press, San Diego, 1995)",,,,,
:Category:Hippocampus regio superior of Cajal,Hippocampus regio superior of Cajal,regio superior,nlx_anat_1008015,,,Cytoarchitectural fields of hippocampal formation,,"One of two cytoarchitectural divisions of the hippocampus proper proposed by Ramon y Cajal consisting of a smaller celled distal region, equivalent to CA1 in the nomenclature proposed by Lorente de No. (adapted from Paxinos G. The rat central nervous system, 2nd ed, Academic Press, San Diego 1995)",,,,,
:Category:Horizontal fissure,Horizontal fissure,"Fissura Horizontalis,Fissura Intercruralis",nlx_anat_20081255,,,Superficial feature part of the cerebellum,,Fissure between cerebellar hemispheric lobules VIIA and VIIBi.,,,,,
:Category:Horizontal limb of the diagonal band,Horizontal limb of the diagonal band,"Horizontal limb of the diagonal band of Broca,diagonal band horizontal limb",nlx_118,,,Regional part of brain,,,,,,hDBB,
:Category:Hypoglossal nerve fiber bundle,Hypoglossal nerve fiber bundle,"root of hypoglossal nerve,central part of hypoglossal nerve,hypoglossal nerve fibers",birnlex_1288,,,Regional part of brain,,,,,,,
:Category:Hypoglossal nucleus,Hypoglossal nucleus,hypoglossal nerve nucleus,birnlex_2644,,,Nucleus of CNS,:Category:Mammal,"Nucleus forming a longitudinal cell column in the medulla, close beneath the floor of the 4th ventricle, containing motor neurons that innervate the muscles of the tongue (Brodal, Neurological Anatomy, 3rd ed., 1981, pg 453)",,:Category:Cranial nerve nucleus,,"12, 12N",
:Category:Hypophysis,Hypophysis,"Pituitary gland,Pituitary",birnlex_1353,,,Regional part of brain,:Category:Mammal,,,,,Hp,
:Category:Hypothalamus,Hypothalamus,Hypencephalon,birnlex_734,,,Regional part of brain,:Category:Vertebrate,"Ventral part of the diencephalon extending from the region of the optic chiasm to the caudal border of the mammillary bodies and forming the inferior and lateral walls of the third ventricle.The ventral topographic division of the interbrain. The first adequate description of the hypothalamus as a layer of gray matter surrounding the lower half of the third ventricle (Galen, c173) was provided by Wharton (1656, see 1966 translation, p. 170). His (1893, pp. 159-162) introduced the term but assigned the preoptic region (Swanson, 1976, pp. 229-235) of the hypothalamus to the telencephalon (His, 1893b). The definition here was introduced for vertebrates by Kuhlenbeck (1927, p. 67, Ch. 9).",,,,Hy,
:Category:Induseum griseum,Induseum griseum,dorsal hippocampal continuation,nlx_49940,,,Regional part of brain,,"Thin layer of cortex lying on the dorsal surface of the corpus callosum.  It has been debated whether it is more related to the hippocampus or the olfactory bulb (Shipley et al., Olfactory System In Paxinos The Rat Nervous System, 2nd ed)",,,,IG,
:Category:Inferior calcarine sulcus,Inferior calcarine sulcus,"lower calcarine sulcus,inferior ramus of calcarine fissure,Sulcus calcarinus inferior",birnlex_4021,,,Superficial feature part of occipital lobe,,,,,,"iccs, ical",
:Category:Inferior central nucleus,Inferior central nucleus,,birnlex_861,,,Regional part of brain,,,,,,,
:Category:Inferior cerebellar peduncle,Inferior cerebellar peduncle,restiform body,birnlex_1691,,,Regional part of brain,,"Regional part of medullary white matter (according to Neuronames) primarily found at the level of the open medulla, consisting of a large bundle of fibers projecting to and projecting from the cerebellum.  The icp is continuous with the dorsal spinocerebellar tract and also contains a large number of fibers originating in the inferior olivary complex (MM).",,,,icp,
:Category:Inferior colliculus,Inferior colliculus,,birnlex_806,,,Regional part of brain,:Category:Mammal,"Part of the midbrain tectum, consisting of paired predominantly gray matter elevations on the dorsal aspect of the midbrain, located caudal to the superior colliculus, dorsal to the periaqueductal gray of the cerebral aqueduct and rostral to the cerebellum.  According to Neuronames, the inferior colliculus comprises the central, pericentral and external nucleus and two predominantly white matter structures, the brachium of the inferior colliculus and the commissure of the inferior colliculus (MM).",,,,IC,
:Category:Inferior frontal gyrus,Inferior frontal gyrus,,birnlex_873,,,Regional part of brain,:Category:Human,"Component of the frontal lobe, lateral aspect.  The rostral boundary is the first appearance of the inferior frontal sulcus whereas the caudal boundary is the precentral gyrus. The medial and lateral boundaries are the lateral bank of the inferior frontal sulcus and the medial bank of the lateral orbital sulcus and/or the circular insular sulcus respectively (Christein Fennema-Notestine).",topography,":Category:Right IFG and preSMA altogether play a role in stopping action (i.e.,:Category:Response inhibition)",,IFG,
:Category:Inferior horn of the lateral ventricle,Inferior horn of the lateral ventricle,temporal horn of lateral ventricle,birnlex_1292,,,Regional part of brain,,The part of the lateral ventricle extending downward and anteriorly in the temporal lobe.,,,,,
:Category:Inferior occipital gyrus,Inferior occipital gyrus,,birnlex_1399,,,Regional part of brain,,,,,,,
:Category:Inferior occipital sulcus,Inferior occipital sulcus,Sulcus occipitalis inferior,birnlex_4020,,,Superficial feature part of occipital lobe,,,,,,"iocs, ios",
:Category:Inferior olivary complex,Inferior olivary complex,Inferior olive,birnlex_1164,,,Regional part of brain,:Category:Mammal,,,:Category:Precerebellar nucleus,,,
:Category:Inferior parietal cortex,Inferior parietal cortex,inferior parietal lobule,birnlex_1194,,,Regional part of brain,:Category:Human,Component of the parietal lobe.  The inferior parietal cortex label includes the inferior parietal gyrus and the angular gyrus and lies inferior to the superior parietal gyrus. The rostral and caudal boundaries were the supramarginal gyrus and the parieto-occipital incisure respectively. The medial and lateral boundaries were the superior parietal gyrus and the middle temporal gyrus respectively (Christine Fennema-Notestine).,,,,,
:Category:Inferior pulvinar nucleus,Inferior pulvinar nucleus,"nucleus pulvinaris thalami,nucleus pulvinaris inferior,nucleus pulvinar pars inferior,nucleus pulvinaris inferior thalami",birnlex_830,"63,157,791,573,924,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",,Nucleus of CNS,:Category:Primate,"One of four subdivisions recognized in the primate pulvinar based on initially on topography, located ventrally between the medial and lateral geniculate bodies (Carpenter, A core text of neuroanatomy, 3rd ed., 1985, pg 238)",,,,IPul,
:Category:Inferior rostral gyrus,Inferior rostral gyrus,,birnlex_1447,,,Regional part of brain,:Category:Human,,,,,,
:Category:Inferior temporal gyrus,Inferior temporal gyrus,gyrus temporalis inferior,birnlex_1577,,,Regional part of brain,:Category:Human,"Component of the temporal lobe, lateral aspect.  The rostral boundary is the rostral extent of the inferior temporal sulcus whereas the caudal boundary is designated as the temporo-occipital incisure on the cortical surface. The occipitotemporal sulcus is the medial boundary and the inferior temporal sulcus is the lateral boundary (Christine Fennema-Notestine).",,,,,
:Category:Inferior transverse frontopolar gyrus,Inferior transverse frontopolar gyrus,,birnlex_1064,,,Regional part of brain,:Category:Human,,,,,,
:Category:Inferior vestibular nucleus,Inferior vestibular nucleus,"Descending vestibular nucleus,spinal vestibular nucleus",nlx_144004,,,Regional part of brain,,"One of the nuclei comprising the vestibular nuclear complex, characterized by bundles of longitudinal fibers running through it.  Multiple cell groups are often identified within it.",myelo-architecture,,,,
:Category:Infracerebellar nucleus,Infracerebellar nucleus,,nlx_144469,,,Regional part of brain,,,,,,,
:Category:Infundibular stem,Infundibular stem,"Infundibulum of posterior lobe of pituitary gland,hypophyseal Infundibulum,Infundibular stalk,Infundibular stem of neurohypophysis,infundibulum",birnlex_1248,,,Regional part of brain,,,,,,InfS,
:Category:Insula,Insula,"Insular cortex,central lobe,insular gyrus,insular lobe,insular region,insulary cortex,island of Reil,Lobus insularis",birnlex_1117,,,Regional part of brain,,"Gray matter of the insular region of the neocortex. In gyrencephalic animals, it is part of the insular lobe and lies in the depths of the lateral fissure and covered by portions of the frontal, parietal and temporal lobes. It includes Brodmann areas 13-16.",topography,":Category:Interoception,:Category:Awareness,:Category:Visceral Sensation,:Category:Somatosensory Integration",,,
:Category:Intebrain,Intebrain,Diencephalon,nlx_158512,,,Regional part of brain,,"The caudal and ventral topographic division of the forebrain. The interbrain in turn has two great topographic divisions, dorsally the thalamus and ventrally the hypothalamus. This basic division of the macrodissected adult human brain( has been recognized at least since Varolio (1573, p. 13, his ""pars posterior medullae spinalis""), and it received its current name for vertebrates from Baer (1837, p. 107; in the original German, ""Zwischenhirn""). This English form of diencephalon (Sharpey et al., 1867) has been used routinely, for example by Sharpey et al. (1867, p. 577), Johnston (1906, p. 25), Strong & Elwyn (1943, p. 12), and Williams & Warwick (1980, p. 953).",topography,,,,
:Category:Interanterodorsal nucleus of the thalamus,Interanterodorsal nucleus of the thalamus,interanterodorsal nucleus of thalamus,nlx_144468,,,Regional part of brain,:Category:Rodent,"a group of nerve cells that bridges the midline of the thalamus between the anterodorsal nucleus of the thalamus of the left and right sides. According to Crosby (1962), it is more developed and consistently present in rodents than in primates (adapted from Brain Info).",,,,,
:Category:Intercalated amygdaloid nuclei,Intercalated amygdaloid nuclei,"Massa intercalata,Massa intercalata of amygdala,intercalated nucleus of the amygdala,intercalated nuclei of amygdala,intercalated masses of nucleus amygdaloideus",birnlex_2683,,,Regional part of brain,,"Discrete clusters of cells intercalated among the major amygdaloid nuclei.  They stain darkly in Nissl stains and have been identified in all mammals.  The main groups lie between the lateral-basolateral nuclear coplex and the central and medial nuclei.  Additional cell groups have been described by some in other locations (Millhouse, O. E. The intercalated cells of the amygdala. J Comp Neurol 247: 246-271, 1986).,  Groups of cells located between the lateral basolateral amygaloid nuclear complex and the central nucleus of the amygdala.  They stain darkly in Nissl stains and have been identified in all mammals.  (Millhouse, O. E. The intercalated cells of the amygdala. J Comp Neurol 247: 246-271, 1986)",,,,"IA, I",
:Category:Intergeniculate leaflet of the lateral geniculate complex,Intergeniculate leaflet of the lateral geniculate complex,,nlx_144470,,,Regional part of brain,,,,,,,
:Category:Intermediate acoustic stria,Intermediate acoustic stria,"commissure of Held,intermediate acoustic stria (Held),intermediate acoustic stria of Held",birnlex_768,,,Regional part of brain,,"White matter structure containing axons arising from cochlear nuclear complex (Brodal, Neurological Anatomy, 3rd ed, 1985, pg 609)",,,,,
:Category:Intermediate hypothalamic region,Intermediate hypothalamic region,,birnlex_1015,,,Regional part of brain,,,,,,IHR,
:Category:Intermediate oculomotor nucleus,Intermediate oculomotor nucleus,,birnlex_803,,,Regional part of brain,,,,,,I3,
:Category:Intermediate orbital gyrus,Intermediate orbital gyrus,,birnlex_1247,,,Regional part of brain,:Category:Human,,,,,,
:Category:Intermediate part of hypophysis,Intermediate part of hypophysis,"intermediate lobe of hypophysis,middle lobe of hypophysis,intermediate region of hypophysis,intermediate lobe of pituitary gland",birnlex_906,,,Regional part of brain,,,,,,IHP,
:Category:Intermediate periventricular nucleus,Intermediate periventricular nucleus,,birnlex_1564,,,Regional part of brain,,,,,,IPe,
:Category:Intermediodorsal nucleus of the thalamus,Intermediodorsal nucleus of the thalamus,,nlx_144471,,,Regional part of brain,:Category:Mouse,,,,,,
:Category:Internal arcuate fiber bundle,Internal arcuate fiber bundle,"arcuate fibers medial lemniscus,internal arcuate fibers",birnlex_1091,,,Regional part of brain,,,,,,ia,
:Category:Internal capsule,Internal capsule,,birnlex_1659,,,Regional part of brain,,"White matter regional part of brain which is flanked by nuclear masses, consisting of both afferent and efferent fibers projecting between the cerebral cortex and the brainstem and spinal cord. It consists of three distinct parts: an anterior limb, posterior limb, and genu. (Adapted from MSH by Maryann Martone).",,,,ic,
:Category:Internal medullary lamina of thalamus,Internal medullary lamina of thalamus,,birnlex_1621,,,Regional part of brain,,Predominantly white regional part of thalamus consisting of a Y shaped bundle of fibers that runs the anterior-posterior length of thalamus and divides the thalamus into roughly three regions (MM: 2006-10-26),,,,iml,
:Category:Interpeduncular nucleus,Interpeduncular nucleus,nucleus interpeduncularis,birnlex_1000,,,Regional part of brain,,,,,,IP,
:Category:Interpolar part of spinal trigeminal nucleus,Interpolar part of spinal trigeminal nucleus,,birnlex_2646,,,Regional part of brain,,,,,,"ISp5, Sp5I",
:Category:Interpositus Nucleus,Interpositus Nucleus,"interposed cerebellar nuclei,interposed nucleus of the cerebellum,interposed nucleus",nlx_anat_20081242,,,Regional part of brain,,,,,,"Int, ICb",
:Category:Interstitial nucleus of Cajal,Interstitial nucleus of Cajal,,birnlex_1008,,,Regional part of brain,,,,,,ICjl,
:Category:Interstitial nucleus of the posterior limb of the anterior commissure,Interstitial nucleus of the posterior limb of the anterior commissure,,nlx_35944,,,Regional part of brain,:Category:Mammal,A group of cells extending caudally with the posterior part of anterior commissure ventral to the striatum  in the mouse  (Paxinos-2001) and the primate  (Fudge-2009) (from Braininfo.org),,,,IPAC,
:Category:Interthalamic adhesion,Interthalamic adhesion,massa intermedia,nlx_144100,,,Regional part of brain,,"Median gray matter mass that connects the two thalami;  present in a large percentage of humans (Heimer, L. The Human Brain and Spinal Cord, 2nd ed., 1995, pg 76n).",,,,,
:Category:Intralaminar nuclear group,Intralaminar nuclear group,"nonspecific thalamic system,nuclei intralaminares (thalami),intralaminar nuclei of thalamus,intralaminar nuclear group of thalamus,intralaminar thalamic nuclei",birnlex_1530,,,Regional part of brain,,,,,,ILG,
:Category:Intralingual sulcus,Intralingual sulcus,Sulcus Intralingualis,birnlex_4019,,,Superficial feature part of occipital lobe,,,,,,ils,
